alignment	dist	ecfp4	daylight		mces
Cc1ccc(-c2ccc(\C=C3/SC(=S)N(CC(=O)O)C3=O)o2)c([N+](=O)[O-])c1 ZINC000033344596	8	0.3854166666666667	0.3774104683195592		28
Cc1ccc(-c2ccc(\C=C3\SC(=S)N(CC(=O)O)C3=O)o2)c([N+](=O)[O-])c1 ZINC000001805113	8	0.3854166666666667	0.3774104683195592		28
NC(=O)CN1C(=O)\C(=C/c2ccc(-c3ccc(Cl)cc3[N+](=O)[O-])o2)SC1=S ZINC001321452190	8	0.4148936170212766	0.41456582633053224		28
NC(=O)CN1C(=O)\C(=C\c2ccc(-c3ccc(Cl)cc3[N+](=O)[O-])o2)SC1=S ZINC001321452196	8	0.4148936170212766	0.41456582633053224		28
O=C(O)C[C@@H]1S\C(=N\N=C\c2ccc(-c3cccc([N+](=O)[O-])c3)o2)NC1=O ZINC000008722305	8	0.7142857142857143	0.8141263940520446		28
O=C(O)C[C@@H]1S\C(=N\N=Cc2ccc(-c3cccc([N+](=O)[O-])c3)o2)NC1=O ZINC000254666800	8	0.7142857142857143	0.8141263940520446		28
O=C(O)C[C@H]1S\C(=N\N=Cc2ccc(-c3cccc([N+](=O)[O-])c3)o2)NC1=O ZINC000254666798	8	0.7142857142857143	0.8141263940520446		28
CCc1cnc(CNCc2ccc(-c3ccc(Cl)cc3[N+](=O)[O-])o2)s1 ZINC001324924413	9	0.4175824175824176	0.39820359281437123		27
CSCCNC(=S)NN=Cc1ccc(-c2ccc(Cl)cc2[N+](=O)[O-])o1 ZINC001319828773	9	0.47191011235955055	0.5069444444444444		26
Cc1cnc(CNCc2ccc(-c3ccc(Cl)cc3[N+](=O)[O-])o2)s1 ZINC001116131641	9	0.42696629213483145	0.4086687306501548		26
O=[N+]([O-])c1cc(Cl)ccc1-c2ccc(C=NNC(=S)Nc3ccccn3)o2 ZINC001319423023	9	0.4444444444444444	0.4745222929936306		28
O=[N+]([O-])c1cc(Cl)ccc1-c2ccc(C=NNC(=S)Nc3cccnc3)o2 ZINC001248411230	9	0.43956043956043955	0.4681528662420382		28
O=[N+]([O-])c1ccccc1-c2ccc(C=NNC(=S)N[C@@H]3CCS(=O)(=O)C3)o2 ZINC000254800512	9	0.3402061855670103	0.4694533762057878		28
O=[N+]([O-])c1ccccc1-c2ccc(C=NNC(=S)N[C@H]3CCS(=O)(=O)C3)o2 ZINC000254800515	9	0.3402061855670103	0.4694533762057878		28
O=[N+]([O-])c1ccccc1-c2ccc(\C=N\NC(=S)N[C@@H]3CCS(=O)(=O)C3)o2 ZINC000002902067	9	0.3402061855670103	0.4694533762057878		28
O=[N+]([O-])c1ccccc1-c2ccc(\C=N\NC(=S)N[C@H]3CCS(=O)(=O)C3)o2 ZINC000023634456	9	0.3402061855670103	0.4694533762057878		28
COC[C@@H](C)NC(=S)NN=Cc1ccc(-c2ccc(Cl)cc2[N+](=O)[O-])o1 ZINC001317717320	9	0.46153846153846156	0.49828178694158076		27
COC[C@H](C)NC(=S)NN=Cc1ccc(-c2ccc(Cl)cc2[N+](=O)[O-])o1 ZINC001317717317	9	0.46153846153846156	0.49828178694158076		27
O=[N+]([O-])c1ccccc1-c2ccc(\C=N\Nc3nc4ccccc4s3)o2 ZINC000005680128	9	0.375	0.42900302114803623		28
Cc1nc(CNCc2ccc(-c3ccc(Cl)cc3[N+](=O)[O-])o2)sc1C ZINC001339605864	9	0.4222222222222222	0.4036144578313253		27
Cc1nc(CCNCc2ccc(-c3ccccc3[N+](=O)[O-])o2)sc1C(=O)O ZINC000426702562	9	0.32	0.38028169014084506		28
CC(C)C(=O)NCCNCc1ccc(-c2ccc(Cl)cc2[N+](=O)[O-])o1 ZINC000061014701	9	0.46511627906976744	0.45614035087719296		26
COCCCNC(=S)NN=Cc1ccc(-c2ccccc2[N+](=O)[O-])o1 ZINC000745984777	9	0.3404255319148936	0.45454545454545453		26
Cc1ccc(CNCc2ccc(-c3ccc(Cl)cc3[N+](=O)[O-])o2)s1 ZINC000109870325	9	0.42528735632183906	0.42244224422442245		26
O=[N+]([O-])c1cc(Br)ccc1-c2ccc(C=NNc3nc4ccccc4s3)o2 ZINC000254904368	9	0.3804347826086957	0.4227405247813411		29
O=[N+]([O-])c1cc(Br)ccc1-c2ccc(\C=N/Nc3nc4ccccc4s3)o2 ZINC000015223456	9	0.3804347826086957	0.4227405247813411		29
O=[N+]([O-])c1cc(Br)ccc1-c2ccc(\C=N\Nc3nc4ccccc4s3)o2 ZINC000019637650	9	0.3804347826086957	0.4227405247813411		29
O=[N+]([O-])c1cc(F)ccc1-c2ccc(\C=N\Nc3nc4ccccc4s3)o2 ZINC000409038177	9	0.3804347826086957	0.4186046511627907		29
Cc1nc(CNCc2ccc(-c3ccccc3[N+](=O)[O-])s2)sc1C(=O)O ZINC000426681672	9	0.25742574257425743	0.28254847645429365		28
O=C(NN=Cc1ccc(-c2ccccc2[N+](=O)[O-])o1)N[C@@H]3CCS(=O)(=O)C3 ZINC000920384745	9	0.35789473684210527	0.4885245901639344		28
O=C(NN=Cc1ccc(-c2ccccc2[N+](=O)[O-])o1)N[C@H]3CCS(=O)(=O)C3 ZINC000920384746	9	0.35789473684210527	0.4885245901639344		28
O=C(NN=Cc1ccc(-c2ccc(Cl)cc2[N+](=O)[O-])o1)[C@@H]3CCS(=O)(=O)C3 ZINC001317809405	9	0.5172413793103449	0.5488215488215489		28
O=C(NN=Cc1ccc(-c2ccc(Cl)cc2[N+](=O)[O-])o1)[C@H]3CCS(=O)(=O)C3 ZINC001317809404	9	0.5172413793103449	0.5488215488215489		28
O=C(NN=Cc1ccc(-c2ccc(Cl)cc2[N+](=O)[O-])o1)c3ccc(O)cc3 ZINC001115814485	9	0.5	0.49146757679180886		28
O=C(O)c1ccc(CNCc2ccc(-c3ccccc3[N+](=O)[O-])o2)o1 ZINC000740133154	9	0.3448275862068966	0.4143835616438356		27
COCCCNC(=O)NN=Cc1ccc(-c2ccccc2[N+](=O)[O-])o1 ZINC000920830178	9	0.358695652173913	0.46735395189003437		26
