PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,Potency_1558,Efficacy_1558,Fit_CurveClass_1558,Max_Response_1558,rank_1558,Potency_1559,Efficacy_1559,Fit_CurveClass_1559,Max_Response_1559,rank_1559,quencher,rank_1558_1559,CLSZ_0.4,CLID_0.4,Lipinski #violations,PAINS #alerts,BBB permeant
16010129,C1=CC=C2C(=C1)C(=O)N(C3=C(S2(=O)=O)C=CC(=C3)C(=O)NC4=CC=CC(=C4)C#N)CC5=CC(=CC=C5)Cl,,,-10.0,5.7,131,,,-10.0,-0.7,128,0,259,,,,,
7595,C1=CC=C(C=C1)NC(=O)NC2=CC=CC=C2,,,-10.0,17.5,136,,,-10.0,-1.2,124,0,260,,,,,
829764,CCN(CC)C1=CC2=C(C=C1)OC(=O)C(=N2)C,10.0,94.7925,-1.1,-95.9,4,14.1254,58.2,-1.2,-59.5,6,1,10,,,,,
992588,CCC1=CC=C(C=C1)S(=O)(=O)NC2=CC(=C(C3=CC=CC=C32)O)SCC(=O)O,5.6234,92.66,-1.1,-97.2,1,8.9125,43.6,-1.2,-47.6,11,1,12,,,,,
1589731,COC1=CC=C(C=C1)S(=O)(=O)NC2=CC(=C(C3=CC=CC=C32)O)SC4=NC=NN4,2.8184,115.187,-1.1,-95.9888,3,7.0795,57.4855,-1.2,-49.2333,10,1,13,,,,,
2338527,C1COCCN1S(=O)(=O)C2=CC3=C(C=C2)N=C(C(=N3)C4=CC=CO4)C5=CC=CO5,4.4668,88.33,-1.1,-94.6,10,7.9433,61.81,-1.2,-61.5,3,1,13,,,,,
2939678,C1=CC=C2C(=C1)C(=CC(=C2O)SCC(=O)O)NS(=O)(=O)C3=CC=CC(=C3)[N+](=O)[O-],1.9953,107.379,-1.1,-97.8,0,2.8184,37.92,-1.2,-38.8,24,1,24,,,,,
439260,C1=CC(=C(C=C1[C@H](CN)O)O)O,5.6234,93.096,-1.1,-96.5,2,7.0795,32.34,-1.2,-31.5,36,1,38,,,,,
25181368,C1=CC=C(C=C1)C2=CNC(=O)C(=C2)N,8.9125,89.3,-1.1,-83.4,29,7.0795,57.9952,-1.2,-50.8293,9,1,38,,,,,
2301472,C1=COC(=C1)C2=NC3=C(C=C(C=C3)NC(=O)NCCCO)N=C2C4=CC=CO4,3.1623,73.96,-1.1,-76.3,38,7.9433,70.48,-1.2,-74.4,1,1,39,,,,,
719449,CCOC(=O)C1=NN(C(=O)C2=C(SC=C21)N)C3=CC=C(C=C3)OC,3.1623,70.4022,-1.1,-84.0371,28,3.1623,39.1201,-1.2,-42.2686,17,1,45,,,,,
3364516,CC1=C(SC=C1)CNC2=C(C3=C(S2)CCCC3)C(=O)NC4=C(C=CC(=C4)Cl)OC,1.0,89.3674,-1.1,-92.6543,16,1.2589,32.9714,-1.2,-34.9762,31,1,47,,,,,
11957514,CC([C@@H](C1=CC(=C(C=C1)O)O)O)N,7.9433,101.1,-1.1,-94.9,9,8.9125,29.2,-2.4,-28.5,49,1,58,,,,,
686852,CCOC(=O)C1=NN(C(=O)C2=C(SC=C21)N)C3=CC=C(C=C3)F,5.0119,84.6227,-1.1,-81.8256,33,3.5481,39.2565,-1.2,-35.9979,28,1,61,,,,,
25181378,C1=CC=C(C=C1)CNC(=O)C2=NN(C(=O)C3=C(SC=C32)N)C4=CC=CC=C4,7.0795,86.0989,-1.1,-82.8941,30,7.0795,35.1653,-1.2,-34.2429,33,1,63,,,,,
753455,CCOC(=O)C1=NN(C(=O)C2=C(SC=C21)N)C3=CC=C(C=C3)Cl,2.2387,65.376,-1.1,-81.5076,34,3.5481,34.5177,-1.2,-35.848,29,1,63,,,,,
