PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES_1460,Fit_CurveClass_1460,Max_Response_1460,Potency_1460
5702227,C1=CC=C2C(=C1)C=C(C(=C2CC3=C(C(=CC4=CC=CC=C43)C(=O)O)O)O)C(=O)O.C1=CC(=CC(=C1)N)C(=C2C=CC(=N)C=C2)C3=CC(=CC=C3)N,-1.1,-100.516,4.4668
135439811,C1=CC(=CC=C1N/N=C/C2=CC(=CN2)C(=O)CCl)[N+](=O)[O-],-1.1,-100.435,1.5849
1207945,CC(=O)OC1=CC=CC2=CC(=C(C(=C2C1=O)OC(=O)C)OC(=O)C)OC(=O)C,-1.1,-100.328,3.5481
6603402,CCCOC1=C(C=C(C=C1)N)N.Cl,-1.1,-100.255,3.1623
979661,CCOC1=C(C=C(C=C1Cl)CNC2=CC=C(C=C2)N3CCCC3)OC,-1.1,-100.251,3.1623
5702198,N.N.Cl[Pt]Cl,-1.1,-100.053,2.5119
5431927,C/C(=N/NC(=O)C1=CC2=CC=CC=C2C=C1O)/C3C(=O)C4=CC=CC=C4C3=O,-1.1,-100.031,2.5119
762708,COC1=CC2=C(C=C1)N=C(C(=N2)C3=CC=CO3)C4=CC=CO4,-1.1,-100.004,4.4668
3440092,CC1=CC(=C(C(=C1O)C)C)N=NC2=CC=CC=C2C(=O)O,-1.1,-99.9114,0.8913
6364517,CCN\1C2=CC=CC=C2S/C1=C\C(=C\C3=[N+](C4=CC=CC=C4S3)CC)\C.[I-],-1.1,-99.7751,1.5849
5440998,CC\1=NN(C(=O)/C1=C\C=C/2\C(C3=CC=CC=C3N2C)(C)C)C4=CC=CC=C4,-1.1,-99.5221,2.2387
135460458,CCN1C(=NC2=C1C=CC(=C2)C(=O)N/N=C/C3=C(C(=C(C=C3)O)O)O)C,-1.1,-99.5202,3.1623
3279103,C1=CC=C2C(=C1)C(=C3C=CC=CC3=N2)NNC(=O)C4=CC(=CC=C4)O,-1.1,-99.5036,2.8184
1571545,C1=CC=C(C(=C1)C(=O)NN2C(=O)/C(=C\C3=CC(=C(C=C3)O)[N+](=O)[O-])/SC2=S)Cl,-1.1,-99.3263,3.1623
16188098,CCN1/C(=C/C2=CC=[N+](C3=CC=CC=C23)CC=C)/C=CC4=C1C=CC(=C4)C.[Br-],-1.1,-99.2001,3.1623
1676176,CC\1(C2=CC=CC=C2N(/C1=C/C=NC3=CC=C(C=C3)N(C)C)C)C,-1.1,-99.0375,3.1623
12871037,CC[N+]1=CC=C(C2=CC=CC=C21)/C=C/C3=CC=C(C=C3)N(C)C.[I-],-1.1,-99.0236,1.4125
16193233,[B-](F)(F)(F)F.CC\1(C2=CC=CC=C2N(/C1=C\C=C\C=C\C=[N+](C)C)C)C,-1.1,-99.0141,3.5481
4425951,CC(=O)C1=CC=C(C=C1)N=NC2=CC=C(C=C2)N,-1.1,-98.8727,0.5623
1380424,CCN(CC)C1=CC=C(C=C1)NC2=C(C(=O)C3=CC=CC=C3C2=O)Cl,-1.1,-98.8699,2.8184
4139,CN(C)C1=CC2=C(C=C1)N=C3C=CC(=[N+](C)C)C=C3S2,-1.1,-98.8611,1.9953
